title,state,year
"The Karnataka Government Educational Institution’s Lands (Protection and Regularisation) Bill, 2026",Karnataka,2026
"The Karnataka Tax on Profession, Trades, Callings and Employments (Amendment) Bill, 2026",Karnataka,2026
"The Karnataka Freedom of Choice in Marriage and Prevention and Prohibition of Crimes in the name of Honour and Tradition (Eva Nammava Eva Nammava) Bill, 2026",Karnataka,2026
"The Karnataka Municipalities and Certain other Laws (Amendment) Bill, 2026",Karnataka,2026
"The Karnataka Police (Amendment) Bill, 2026",Karnataka,2026
"The Karnataka Gram Swaraj and Panchayat Raj (Amendment) Bill, 2026",Karnataka,2026
"The Karnataka Jnana Bhandar Manuscripts and Digitisation Bill, 2026",Karnataka,2026
"The Karnataka Motor Vehicles Taxation (Amendment) Bill, 2026",Karnataka,2026
"The Karnataka State Civil Services (Regulation of Transfer of Teachers) (Amendment) Bill, 2026",Karnataka,2026
"The Karnataka Lokayukta (Amendment) Bill, 2026",Karnataka,2026
"The Karnataka Public Service Commission (Conduct of Business and Additional Functions) (Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Scheduled Castes (Sub-Classification) Bill, 2025",Karnataka,2025
"The Karnataka State Commission for the Scheduled Castes and the Scheduled Tribes (Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Private Medical Establishments (Amendment) Bill, 2025",Karnataka,2025
"The Karnataka State Road Safety Authority (Amendment) Bill, 2025",Karnataka,2025
"The Nadaprabhu Kempegowda Heritage Area Development Authority (Second Amendment) Bill, 2025",Karnataka,2025
"The Bombay Public Trust (Karnataka Amendment) Bill, 2025",Karnataka,2025
"The Bengaluru Metropolitan Land Transport Authority (Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Social Boycott (Prevention, Prohibition and Redressal) Bill, 2025",Karnataka,2025
"The Greater Bengaluru Governance (Second Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Tax on Profession, Trades, Callings and Employments (Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Hate Speech and Hate Crimes (Prevention) Bill, 2025",Karnataka,2025
"The Karnataka Hindu Religious Institutions and Charitable Endowments (Amendment) Bill, 2025",Karnataka,2025
"Shree Chamundeshwari Kshetra Development Authority and Certain Other Laws (Amendment) Bill, 2025",Karnataka,2025
"The Malnad Area Development Board (Amendment) Bill, 2025",Karnataka,2025
"The Bayaluseeme Development Board (Amendment) Bill, 2025",Karnataka,2025
"The Karnataka State Universities (Second Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Cine and Cultural Activities (Welfare) (Amendment) Bill, 2025",Karnataka,2025
"The Drugs and Cosmetics (Karnataka Amendment) Bill, 2025",Karnataka,2025
"The Chandragutti Shree Renukamba Kshetra Development Authority Bill, 2025",Karnataka,2025
"The Karnataka State Rural Development and Panchayat Raj University (Amendment) Bill, 2025",Karnataka,2025
"Sri Malai Mahadeshwaraswamy Kshetra Development Authority (Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Labour Welfare Fund (Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Rent (Amendment) Bill, 2025",Karnataka,2025
"The Basavanagudi Development Authority (Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Elevators, Escalators and Passenger Conveyors (Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Appointment of Recovery Commissioners for Seizure and Confiscation of Property arising from Illegal Mining and Proceeds of Crime Bill, 2025",Karnataka,2025
"The Karnataka Crowd Control (Managing Crowd at Events and place of Gathering) Bill, 2025",Karnataka,2025
"The Karnataka Traditional Nomadic Shepherds (Welfare Promotion Measures and Protection against Atrocities) Bill, 2025",Karnataka,2025
"The Karnataka Land Revenue (Second Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Micro Loan and Small Loan (Prevention of Coercive Actions) Bill, 2025",Karnataka,2025
"The Karnataka Immorality (Amendment of Provisions) Bill, 2025",Karnataka,2025
"The Greater Bangalore Administration (Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Goods and Services Tax (Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Municipal Corporations (Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Town and Country Planning and Certain Other Laws (Amendment) Bill, 2025",Karnataka,2025
"The Karnataka Devadasi (Prevention, Prohibition, Redress and Rehabilitation) Bill, 2025",Karnataka,2025
"The Karnataka Municipalities and Certain Other Laws (Amendment) Bill, 2025",Karnataka,2025
